               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.068364,            0.025284,                   0,            0.048489,             0.43182,            0.051566,            0.013572,            0.092199,            0.019434,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.083211,             0.02116,                   0,             0.45562,             0.93205,             0.46418,             0.14111,            0.065434,            0.021294,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.068202,            0.024928,                   0,             0.45562,             0.93205,             0.46418,             0.14111,            0.065434,            0.021294,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.063418,            0.026478,                   0,             0.75771,             0.99509,             0.89223,             0.31828,            0.057726,            0.021249,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.061471,            0.028855,                   0,               0.462,             0.90909,             0.52304,             0.15823,            0.066698,            0.021378,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.068036,            0.021121,                   0,             0.15073,             0.40909,              0.1226,            0.030105,            0.090083,            0.020034,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.075305,            0.021912,                   0,             0.15073,             0.40909,              0.1226,            0.030105,            0.090083,            0.020034,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.064004,            0.022724,                   0,             0.73152,             0.84091,             0.84339,              0.3477,            0.064352,            0.019334,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.066476,             0.02257,                   0,             0.15304,             0.65909,              0.1468,            0.046411,            0.084433,            0.020017,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.076689,            0.019209,                   0,             0.43905,             0.94285,             0.44718,             0.15647,            0.068633,            0.018393,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,              0.0636,            0.021423,                   0,             0.43905,             0.94285,             0.44718,             0.15647,            0.068633,            0.018393,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.060882,            0.024444,                   0,             0.49463,             0.95455,             0.54386,             0.19412,            0.061991,            0.018274,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.060069,            0.024621,                   0,             0.39276,             0.95455,              0.4798,             0.17199,            0.063881,            0.017951,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.060655,            0.021429,                   0,             0.54492,             0.86364,             0.54762,             0.19856,            0.068547,            0.017129,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.059341,            0.021778,                   0,             0.54492,             0.86364,             0.54762,             0.19856,            0.068547,            0.017129,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.051729,            0.020351,                   0,             0.60844,                   1,             0.75432,             0.33873,             0.05744,            0.017004,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.055527,            0.020377,                   0,             0.45605,             0.97727,              0.5619,             0.27239,            0.064401,            0.018486,                   0,           0.0094753,           0.0094753,           0.0094753
